ID	logFC
MYH11	-6.864632001
MYLK	-4.973656127
ITPR1	-3.416562739
LIX1L	-2.652381562
FOXO1	-2.466680615
RAB23	-2.75241093
CD93	-2.852561025
SRPX	-3.990115185
PDK4	-4.350503271
ABL1	-1.59929141
DLC1	-2.873487692
BIRC5	4.684369068
CDKN2A	6.468065929
ST13	-1.256757185
LMCD1	-2.262123355
CHMP4C	3.130432556
RRAGA	-1.216176163
GABARAP	-1.138814761
BCL2	-2.520451261
RFWD3	1.873542504
GABARAPL1	-1.57887265
HK2	4.067386567
SFRP4	-3.298777152
BOC	-2.817824558
IFT46	-1.224297498
CLDN7	2.901502008
CPA3	-2.447865357
HSPB8	-2.113038039
VAMP8	2.214298652
BAK1	1.963330092
TOMM7	-1.292789851
PARP1	1.27436402
TP73	4.470896135
CAPN1	1.393184535
MARK2	1.216912334
FOXO3	-1.02109351
SIRT1	-1.040480813
VDAC1	1.282997155
RRAGB	-1.070951968
FAM13B	-1.099557496
HDAC1	1.024503718
EIF4G1	1.121472217
GMIP	1.719618566
CHAF1B	1.98205777
EIF4EBP1	2.004372239
FIS1	-1.159509575
TOMM40	1.60301003
IKBKE	2.027616654
EVA1B	-1.382688604
TP63	6.557656838
S100A9	6.550528727
ITGB4	2.300652553
CCL2	-1.950599881
KRT15	7.534926237
LSM4	1.354540907
BAX	1.024324565
FOS	-1.836924335
RPS27A	-1.000906394
PNPO	1.27416621
GAPDH	1.393031672
HIST1H3H	3.501116262
RGS19	1.33083663
S100A8	7.248091369
